place_id,name,formatted_address,lat,lng,zone_id,rating,user_rating_count,price_level,business_status,website_uri,types_json,primary_type,stage,eliminated_reason,found_by_json,extraction_json,score,first_seen_at,updated_at
ChIJuyaUUAAtDogRNz7WmGSM-iI,"101 Lobby Bar","101 E Erie St, Chicago, IL 60611, USA",41.8939922,-87.6250449,river_north,5.0,7,2,OPERATIONAL,https://www.101club.com/101-room,"[""bar"", ""event_venue"", ""point_of_interest"", ""establishment""]",bar,2_filtered_ok,,"[{""cell_id"": ""river_north__cocktail_bar"", ""query"": ""cocktail bar River North Chicago"", ""rank"": 19, ""run_id"": ""20260707-165624"", ""sub"": 1}, {""cell_id"": ""river_north__cocktail_bar"", ""query"": ""craft cocktails River North"", ""rank"": 57, ""run_id"": ""20260707-165624""}, {""cell_id"": ""river_north__cocktail_bar"", ""query"": ""craft cocktails River North"", ""rank"": 12, ""run_id"": ""20260707-165624"", ""sub"": 1}, {""cell_id"": ""river_north__cocktail_bar"", ""query"": ""cocktail bar River North Chicago"", ""rank"": 33, ""run_id"": ""20260707-165706"", ""sub"": 1}, {""cell_id"": ""river_north__cocktail_bar"", ""query"": ""craft cocktails River North"", ""rank"": 54, ""run_id"": ""20260707-165706""}, {""cell_id"": ""river_north__cocktail_bar"", ""query"": ""craft cocktails River North"", ""rank"": 12, ""run_id"": ""20260707-165706"", ""sub"": 1}, {""cell_id"": ""river_north__cocktail_bar"", ""query"": ""cocktail bar River North Chicago"", ""rank"": 31, ""run_id"": ""20260707-165757"", ""sub"": 1}, {""cell_id"": ""river_north__cocktail_bar"", ""query"": ""craft cocktails River North"", ""rank"": 54, ""run_id"": ""20260707-165757""}, {""cell_id"": ""river_north__cocktail_bar"", ""query"": ""craft cocktails River North"", ""rank"": 12, ""run_id"": ""20260707-165757"", ""sub"": 1}, {""cell_id"": ""river_north__cocktail_bar"", ""query"": ""cocktail bar River North Chicago"", ""rank"": 33, ""run_id"": ""20260707-165847"", ""sub"": 1}, {""cell_id"": ""river_north__cocktail_bar"", ""query"": ""craft cocktails River North"", ""rank"": 57, ""run_id"": ""20260707-165847""}, {""cell_id"": ""river_north__cocktail_bar"", ""query"": ""craft cocktails River North"", ""rank"": 12, ""run_id"": ""20260707-165847"", ""sub"": 1}]",,,2026-07-07T16:56:41+00:00,2026-07-08T16:46:04+00:00
ChIJtydKsawsDogRY5t2aUIXeBc,"676 Restaurant & Bar","676 N Michigan Ave, Chicago, IL 60611, USA",41.8947435,-87.6249238,river_north,4.4,225,2,OPERATIONAL,https://www.omnihotels.com/hotels/chicago/dining/676-restaurant-and-bar,"[""american_restaurant"", ""cocktail_bar"", ""bar"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment""]",american_restaurant,2_filtered_ok,,"[{""cell_id"": ""river_north__cocktail_bar"", ""query"": ""cocktail lounge private events River North"", ""rank"": 55, ""run_id"": ""20260707-165624"", ""sub"": 1}, {""cell_id"": ""river_north__cocktail_bar"", ""query"": ""cocktail lounge private events River North"", ""rank"": 55, ""run_id"": ""20260707-165706"", ""sub"": 1}, {""cell_id"": ""river_north__cocktail_bar"", ""query"": ""cocktail lounge private events River North"", ""rank"": 55, ""run_id"": ""20260707-165757"", ""sub"": 1}, {""cell_id"": ""river_north__cocktail_bar"", ""query"": ""cocktail lounge private events River North"", ""rank"": 55, ""run_id"": ""20260707-165847"", ""sub"": 1}]",,,2026-07-07T16:56:51+00:00,2026-07-08T16:02:43+00:00
ChIJ_QQbw8IsDogRM810deNaiss,"9 Muses Bar & Grill","315 S Halsted St, Chicago, IL 60661, USA",41.8774215,-87.6470942,west_loop,4.6,741,2,OPERATIONAL,https://www.9museschicago.com/,"[""greek_restaurant"", ""mediterranean_restaurant"", ""bar_and_grill"", ""bar"", ""restaurant"", ""point_of_interest"", ""food"", ""establishment""]",greek_restaurant,2_filtered_ok,,"[{""cell_id"": ""west_loop__cocktail_bar"", ""query"": ""cocktail bar West Loop / Fulton Market Chicago"", ""rank"": 17, ""run_id"": ""20260707-165624"", ""sub"": 3}, {""cell_id"": ""west_loop__cocktail_bar"", ""query"": ""cocktail lounge private events West Loop / Fulton Market"", ""rank"": 16, ""run_id"": ""20260707-165624"", ""sub"": 3}, {""cell_id"": ""west_loop__cocktail_bar"", ""query"": ""cocktail bar West Loop / Fulton Market Chicago"", ""rank"": 17, ""run_id"": ""20260707-165706"", ""sub"": 3}, {""cell_id"": ""west_loop__cocktail_bar"", ""query"": ""cocktail lounge private events West Loop / Fulton Market"", ""rank"": 15, ""run_id"": ""20260707-165706"", ""sub"": 3}, {""cell_id"": ""west_loop__cocktail_bar"", ""query"": ""cocktail bar West Loop / Fulton Market Chicago"", ""rank"": 17, ""run_id"": ""20260707-165757"", ""sub"": 3}, {""cell_id"": ""west_loop__cocktail_bar"", ""query"": ""cocktail lounge private events West Loop / Fulton Market"", ""rank"": 16, ""run_id"": ""20260707-165757"", ""sub"": 3}, {""cell_id"": ""west_loop__cocktail_bar"", ""query"": ""cocktail bar West Loop / Fulton Market Chicago"", ""rank"": 17, ""run_id"": ""20260707-165847"", ""sub"": 3}, {""cell_id"": ""west_loop__cocktail_bar"", ""query"": ""cocktail lounge private events West Loop / Fulton Market"", ""rank"": 16, ""run_id"": ""20260707-165847"", ""sub"": 3}]",,,2026-07-07T16:56:29+00:00,2026-07-07T17:03:00+00:00
ChIJ_WkBLrMsDogR0cFQJVbq0Kc,"AMBAR Restaurant, Chicago","700 N Clark St, Chicago, IL 60654, USA",41.894981,-87.63158,river_north,4.8,2468,,OPERATIONAL,https://ambarrestaurant.com/ambarchicago?utm_source=google,"[""restaurant"", ""mediterranean_restaurant"", ""tapas_restaurant"", ""cocktail_bar"", ""brunch_restaurant"", ""european_restaurant"", ""eastern_european_restaurant"", ""bar"", ""event_venue"", ""point_of_interest"", ""food"", ""establishment""]",restaurant,2_filtered_ok,,"[{""cell_id"": ""river_north__cocktail_bar"", ""query"": ""cocktail bar River North Chicago"", ""rank"": 26, ""run_id"": ""20260707-165624"", ""sub"": 1}, {""cell_id"": ""river_north__cocktail_bar"", ""query"": ""cocktail lounge private events River North"", ""rank"": 53, ""run_id"": ""20260707-165624""}, {""cell_id"": ""river_north__cocktail_bar"", ""query"": ""cocktail lounge private events River North"", ""rank"": 21, ""run_id"": ""20260707-165624"", ""sub"": 1}, {""cell_id"": ""river_north__cocktail_bar"", ""query"": ""cocktail bar River North Chicago"", ""rank"": 19, ""run_id"": ""20260707-165706"", ""sub"": 1}, {""cell_id"": ""river_north__cocktail_bar"", ""query"": ""craft cocktails River North"", ""rank"": 60, ""run_id"": ""20260707-165706""}, {""cell_id"": ""river_north__cocktail_bar"", ""query"": ""cocktail lounge private events River North"", ""rank"": 57, ""run_id"": ""20260707-165706""}, {""cell_id"": ""river_north__cocktail_bar"", ""query"": ""cocktail lounge private events River North"", ""rank"": 21, ""run_id"": ""20260707-165706"", ""sub"": 1}, {""cell_id"": ""river_north__cocktail_bar"", ""query"": ""cocktail bar River North Chicago"", ""rank"": 19, ""run_id"": ""20260707-165757"", ""sub"": 1}, {""cell_id"": ""river_north__cocktail_bar"", ""query"": ""cocktail lounge private events River North"", ""rank"": 57, ""run_id"": ""20260707-165757""}, {""cell_id"": ""river_north__cocktail_bar"", ""query"": ""cocktail lounge private events River North"", ""rank"": 28, ""run_id"": ""20260707-165757"", ""sub"": 1}, {""cell_id"": ""river_north__cocktail_bar"", ""query"": ""cocktail bar River North Chicago"", ""rank"": 24, ""run_id"": ""20260707-165847"", ""sub"": 1}, {""cell_id"": ""river_north__cocktail_bar"", ""query"": ""cocktail lounge private events River North"", ""rank"": 57, ""run_id"": ""20260707-165847""}, {""cell_id"": ""river_north__cocktail_bar"", ""query"": ""cocktail lounge private events River North"", ""rank"": 21, ""run_id"": ""20260707-165847"", ""sub"": 1}]",,,2026-07-07T16:56:41+00:00,2026-07-08T16:02:33+00:00
ChIJHy_uxjQtDogREgbDgcjizn8,Aba,"302 N Green St 3rd Floor, Chicago, IL 60607, USA",41.887005,-87.6488501,west_loop,4.8,10399,3,OPERATIONAL,http://www.abarestaurants.com/,"[""mediterranean_restaurant"", ""bar"", ""restaurant"", ""point_of_interest"", ""food"", ""establishment""]",mediterranean_restaurant,2_filtered_ok,,"[{""cell_id"": ""west_loop__cocktail_bar"", ""query"": ""cocktail bar West Loop / Fulton Market Chicago"", ""rank"": 15, ""run_id"": ""20260707-165624""}, {""cell_id"": ""west_loop__cocktail_bar"", ""query"": ""cocktail bar West Loop / Fulton Market Chicago"", ""rank"": 10, ""run_id"": ""20260707-165624"", ""sub"": 2}, {""cell_id"": ""west_loop__cocktail_bar"", ""query"": ""craft cocktails West Loop / Fulton Market"", ""rank"": 24, ""run_id"": ""20260707-165624""}, {""cell_id"": ""west_loop__cocktail_bar"", ""query"": ""cocktail lounge private events West Loop / Fulton Market"", ""rank"": 30, ""run_id"": ""20260707-165624""}, {""cell_id"": ""west_loop__cocktail_bar"", ""query"": ""cocktail lounge private events West Loop / Fulton Market"", ""rank"": 15, ""run_id"": ""20260707-165624"", ""sub"": 2}, {""cell_id"": ""west_loop__cocktail_bar"", ""query"": ""cocktail bar West Loop / Fulton Market Chicago"", ""rank"": 15, ""run_id"": ""20260707-165706""}, {""cell_id"": ""west_loop__cocktail_bar"", ""query"": ""cocktail bar West Loop / Fulton Market Chicago"", ""rank"": 11, ""run_id"": ""20260707-165706"", ""sub"": 2}, {""cell_id"": ""west_loop__cocktail_bar"", ""query"": ""cocktail lounge private events West Loop / Fulton Market"", ""rank"": 28, ""run_id"": ""20260707-165706""}, {""cell_id"": ""west_loop__cocktail_bar"", ""query"": ""cocktail lounge private events West Loop / Fulton Market"", ""rank"": 15, ""run_id"": ""20260707-165706"", ""sub"": 2}, {""cell_id"": ""west_loop__cocktail_bar"", ""query"": ""cocktail bar West Loop / Fulton Market Chicago"", ""rank"": 15, ""run_id"": ""20260707-165757""}, {""cell_id"": ""west_loop__cocktail_bar"", ""query"": ""cocktail bar West Loop / Fulton Market Chicago"", ""rank"": 7, ""run_id"": ""20260707-165757"", ""sub"": 2}, {""cell_id"": ""west_loop__cocktail_bar"", ""query"": ""craft cocktails West Loop / Fulton Market"", ""rank"": 24, ""run_id"": ""20260707-165757""}, {""cell_id"": ""west_loop__cocktail_bar"", ""query"": ""cocktail lounge private events West Loop / Fulton Market"", ""rank"": 28, ""run_id"": ""20260707-165757""}, {""cell_id"": ""west_loop__cocktail_bar"", ""query"": ""cocktail lounge private events West Loop / Fulton Market"", ""rank"": 15, ""run_id"": ""20260707-165757"", ""sub"": 2}, {""cell_id"": ""west_loop__cocktail_bar"", ""query"": ""cocktail bar West Loop / Fulton Market Chicago"", ""rank"": 15, ""run_id"": ""20260707-165847""}, {""cell_id"": ""west_loop__cocktail_bar"", ""query"": ""cocktail bar West Loop / Fulton Market Chicago"", ""rank"": 7, ""run_id"": ""20260707-165847"", ""sub"": 2}, {""cell_id"": ""west_loop__cocktail_bar"", ""query"": ""craft cocktails West Loop / Fulton Market"", ""rank"": 41, ""run_id"": ""20260707-165847""}, {""cell_id"": ""west_loop__cocktail_bar"", ""query"": ""cocktail lounge private events West Loop / Fulton Market"", ""rank"": 30, ""run_id"": ""20260707-165847""}, {""cell_id"": ""west_loop__cocktail_bar"", ""query"": ""cocktail lounge private events West Loop / Fulton Market"", ""rank"": 15, ""run_id"": ""20260707-165847"", ""sub"": 2}]",,,2026-07-07T16:56:26+00:00,2026-07-07T17:02:29+00:00
ChIJMUfljLAsDogRIokaJdYFrNk,AceBounce,"230 N Clark St, Chicago, IL 60601, USA",41.8865271,-87.6312255,river_north,4.4,1313,2,OPERATIONAL,https://www.acebounce.com/,"[""bar"", ""cocktail_bar"", ""lounge_bar"", ""night_club"", ""event_venue"", ""american_restaurant"", ""restaurant"", ""point_of_interest"", ""food"", ""establishment""]",bar,2_filtered_ok,,"[{""cell_id"": ""river_north__cocktail_bar"", ""query"": ""cocktail bar River North Chicago"", ""rank"": 44, ""run_id"": ""20260707-165624"", ""sub"": 3}, {""cell_id"": ""river_north__cocktail_bar"", ""query"": ""craft cocktails River North"", ""rank"": 45, ""run_id"": ""20260707-165624"", ""sub"": 3}, {""cell_id"": ""river_north__cocktail_bar"", ""query"": ""cocktail lounge private events River North"", ""rank"": 38, ""run_id"": ""20260707-165624"", ""sub"": 3}, {""cell_id"": ""river_north__cocktail_bar"", ""query"": ""craft cocktails River North"", ""rank"": 45, ""run_id"": ""20260707-165706"", ""sub"": 3}, {""cell_id"": ""river_north__cocktail_bar"", ""query"": ""cocktail lounge private events River North"", ""rank"": 59, ""run_id"": ""20260707-165706""}, {""cell_id"": ""river_north__cocktail_bar"", ""query"": ""cocktail lounge private events River North"", ""rank"": 38, ""run_id"": ""20260707-165706"", ""sub"": 3}, {""cell_id"": ""river_north__cocktail_bar"", ""query"": ""cocktail bar River North Chicago"", ""rank"": 45, ""run_id"": ""20260707-165757"", ""sub"": 3}, {""cell_id"": ""river_north__cocktail_bar"", ""query"": ""craft cocktails River North"", ""rank"": 45, ""run_id"": ""20260707-165757"", ""sub"": 3}, {""cell_id"": ""river_north__cocktail_bar"", ""query"": ""cocktail lounge private events River North"", ""rank"": 59, ""run_id"": ""20260707-165757""}, {""cell_id"": ""river_north__cocktail_bar"", ""query"": ""cocktail lounge private events River North"", ""rank"": 38, ""run_id"": ""20260707-165757"", ""sub"": 3}, {""cell_id"": ""river_north__cocktail_bar"", ""query"": ""craft cocktails River North"", ""rank"": 48, ""run_id"": ""20260707-165847"", ""sub"": 3}, {""cell_id"": ""river_north__cocktail_bar"", ""query"": ""cocktail lounge private events River North"", ""rank"": 59, ""run_id"": ""20260707-165847""}, {""cell_id"": ""river_north__cocktail_bar"", ""query"": ""cocktail lounge private events River North"", ""rank"": 38, ""run_id"": ""20260707-165847"", ""sub"": 3}]",,,2026-07-07T16:56:44+00:00,2026-07-07T17:02:35+00:00
ChIJhYc5zoUtDogR6c4AM1Jf5Ps,"After Chicago","1338 W Fulton St, Chicago, IL 60607, USA",41.8867365,-87.6602574,west_loop,4.5,234,,OPERATIONAL,https://www.after-chicago.com/,"[""bar"", ""point_of_interest"", ""establishment""]",bar,2_filtered_ok,,"[{""cell_id"": ""west_loop__cocktail_bar"", ""query"": ""cocktail bar West Loop / Fulton Market Chicago"", ""rank"": 2, ""run_id"": ""20260707-165624""}, {""cell_id"": ""west_loop__cocktail_bar"", ""query"": ""cocktail bar West Loop / Fulton Market Chicago"", ""rank"": 2, ""run_id"": ""20260707-165624"", ""sub"": 2}, {""cell_id"": ""west_loop__cocktail_bar"", ""query"": ""craft cocktails West Loop / Fulton Market"", ""rank"": 2, ""run_id"": ""20260707-165624""}, {""cell_id"": ""west_loop__cocktail_bar"", ""query"": ""cocktail lounge private events West Loop / Fulton Market"", ""rank"": 1, ""run_id"": ""20260707-165624""}, {""cell_id"": ""west_loop__cocktail_bar"", ""query"": ""cocktail lounge private events West Loop / Fulton Market"", ""rank"": 2, ""run_id"": ""20260707-165624"", ""sub"": 2}, {""cell_id"": ""west_loop__cocktail_bar"", ""query"": ""cocktail bar West Loop / Fulton Market Chicago"", ""rank"": 2, ""run_id"": ""20260707-165706""}, {""cell_id"": ""west_loop__cocktail_bar"", ""query"": ""cocktail bar West Loop / Fulton Market Chicago"", ""rank"": 2, ""run_id"": ""20260707-165706"", ""sub"": 2}, {""cell_id"": ""west_loop__cocktail_bar"", ""query"": ""craft cocktails West Loop / Fulton Market"", ""rank"": 2, ""run_id"": ""20260707-165706""}, {""cell_id"": ""west_loop__cocktail_bar"", ""query"": ""cocktail lounge private events West Loop / Fulton Market"", ""rank"": 1, ""run_id"": ""20260707-165706""}, {""cell_id"": ""west_loop__cocktail_bar"", ""query"": ""cocktail lounge private events West Loop / Fulton Market"", ""rank"": 1, ""run_id"": ""20260707-165706"", ""sub"": 2}, {""cell_id"": ""west_loop__cocktail_bar"", ""query"": ""cocktail bar West Loop / Fulton Market Chicago"", ""rank"": 2, ""run_id"": ""20260707-165757""}, {""cell_id"": ""west_loop__cocktail_bar"", ""query"": ""cocktail bar West Loop / Fulton Market Chicago"", ""rank"": 3, ""run_id"": ""20260707-165757"", ""sub"": 2}, {""cell_id"": ""west_loop__cocktail_bar"", ""query"": ""craft cocktails West Loop / Fulton Market"", ""rank"": 2, ""run_id"": ""20260707-165757""}, {""cell_id"": ""west_loop__cocktail_bar"", ""query"": ""cocktail lounge private events West Loop / Fulton Market"", ""rank"": 1, ""run_id"": ""20260707-165757""}, {""cell_id"": ""west_loop__cocktail_bar"", ""query"": ""cocktail lounge private events West Loop / Fulton Market"", ""rank"": 1, ""run_id"": ""20260707-165757"", ""sub"": 2}, {""cell_id"": ""west_loop__cocktail_bar"", ""query"": ""cocktail bar West Loop / Fulton Market Chicago"", ""rank"": 2, ""run_id"": ""20260707-165847""}, {""cell_id"": ""west_loop__cocktail_bar"", ""query"": ""cocktail bar West Loop / Fulton Market Chicago"", ""rank"": 2, ""run_id"": ""20260707-165847"", ""sub"": 2}, {""cell_id"": ""west_loop__cocktail_bar"", ""query"": ""craft cocktails West Loop / Fulton Market"", ""rank"": 2, ""run_id"": ""20260707-165847""}, {""cell_id"": ""west_loop__cocktail_bar"", ""query"": ""cocktail lounge private events West Loop / Fulton Market"", ""rank"": 1, ""run_id"": ""20260707-165847""}, {""cell_id"": ""west_loop__cocktail_bar"", ""query"": ""cocktail lounge private events West Loop / Fulton Market"", ""rank"": 1, ""run_id"": ""20260707-165847"", ""sub"": 2}]",,,2026-07-07T16:56:26+00:00,2026-07-07T17:03:14+00:00
ChIJXY5CiyctDogR8-v6307huWo,"Alhambra Palace Chicago","1240 W Randolph St, Chicago, IL 60607, USA",41.8844642,-87.6582565,west_loop,4.4,4505,2,OPERATIONAL,https://www.alhambrapalacechicago.com/,"[""mediterranean_restaurant"", ""moroccan_restaurant"", ""cocktail_bar"", ""banquet_hall"", ""live_music_venue"", ""wedding_venue"", ""lounge_bar"", ""fusion_restaurant"", ""night_club"", ""bar"", ""event_venue"", ""service"", ""restaurant"", ""point_of_interest"", ""food"", ""establishment""]",mediterranean_restaurant,2_filtered_ok,,"[{""cell_id"": ""west_loop__cocktail_bar"", ""query"": ""cocktail bar West Loop / Fulton Market Chicago"", ""rank"": 53, ""run_id"": ""20260707-165624""}, {""cell_id"": ""west_loop__cocktail_bar"", ""query"": ""cocktail bar West Loop / Fulton Market Chicago"", ""rank"": 17, ""run_id"": ""20260707-165624"", ""sub"": 4}, {""cell_id"": ""west_loop__cocktail_bar"", ""query"": ""cocktail lounge private events West Loop / Fulton Market"", ""rank"": 37, ""run_id"": ""20260707-165624""}, {""cell_id"": ""west_loop__cocktail_bar"", ""query"": ""cocktail lounge private events West Loop / Fulton Market"", ""rank"": 10, ""run_id"": ""20260707-165624"", ""sub"": 4}, {""cell_id"": ""west_loop__cocktail_bar"", ""query"": ""cocktail bar West Loop / Fulton Market Chicago"", ""rank"": 12, ""run_id"": ""20260707-165706"", ""sub"": 4}, {""cell_id"": ""west_loop__cocktail_bar"", ""query"": ""cocktail lounge private events West Loop / Fulton Market"", ""rank"": 36, ""run_id"": ""20260707-165706""}, {""cell_id"": ""west_loop__cocktail_bar"", ""query"": ""cocktail lounge private events West Loop / Fulton Market"", ""rank"": 10, ""run_id"": ""20260707-165706"", ""sub"": 4}, {""cell_id"": ""west_loop__cocktail_bar"", ""query"": ""cocktail bar West Loop / Fulton Market Chicago"", ""rank"": 50, ""run_id"": ""20260707-165757""}, {""cell_id"": ""west_loop__cocktail_bar"", ""query"": ""cocktail bar West Loop / Fulton Market Chicago"", ""rank"": 17, ""run_id"": ""20260707-165757"", ""sub"": 4}, {""cell_id"": ""west_loop__cocktail_bar"", ""query"": ""cocktail lounge private events West Loop / Fulton Market"", ""rank"": 36, ""run_id"": ""20260707-165757""}, {""cell_id"": ""west_loop__cocktail_bar"", ""query"": ""cocktail lounge private events West Loop / Fulton Market"", ""rank"": 10, ""run_id"": ""20260707-165757"", ""sub"": 4}, {""cell_id"": ""west_loop__cocktail_bar"", ""query"": ""cocktail bar West Loop / Fulton Market Chicago"", ""rank"": 17, ""run_id"": ""20260707-165847"", ""sub"": 4}, {""cell_id"": ""west_loop__cocktail_bar"", ""query"": ""cocktail lounge private events West Loop / Fulton Market"", ""rank"": 37, ""run_id"": ""20260707-165847""}, {""cell_id"": ""west_loop__cocktail_bar"", ""query"": ""cocktail lounge private events West Loop / Fulton Market"", ""rank"": 10, ""run_id"": ""20260707-165847"", ""sub"": 4}]",,,2026-07-07T16:56:26+00:00,2026-07-07T17:02:55+00:00
ChIJh11DQwAtDogRpl1wDG44gQ0,"All Well","111 N Carpenter St, Chicago, IL 60607, USA",41.8834279,-87.6531099,west_loop,4.7,43,,OPERATIONAL,https://www.allwellchicago.com/,"[""cocktail_bar"", ""bar"", ""american_restaurant"", ""restaurant"", ""point_of_interest"", ""food"", ""establishment""]",american_restaurant,2_filtered_ok,,"[{""cell_id"": ""west_loop__cocktail_bar"", ""query"": ""cocktail bar West Loop / Fulton Market Chicago"", ""rank"": 4, ""run_id"": ""20260707-165624"", ""sub"": 4}, {""cell_id"": ""west_loop__cocktail_bar"", ""query"": ""cocktail lounge private events West Loop / Fulton Market"", ""rank"": 3, ""run_id"": ""20260707-165624"", ""sub"": 4}, {""cell_id"": ""west_loop__cocktail_bar"", ""query"": ""cocktail bar West Loop / Fulton Market Chicago"", ""rank"": 11, ""run_id"": ""20260707-165706"", ""sub"": 4}, {""cell_id"": ""west_loop__cocktail_bar"", ""query"": ""cocktail lounge private events West Loop / Fulton Market"", ""rank"": 3, ""run_id"": ""20260707-165706"", ""sub"": 4}, {""cell_id"": ""west_loop__cocktail_bar"", ""query"": ""cocktail bar West Loop / Fulton Market Chicago"", ""rank"": 4, ""run_id"": ""20260707-165757"", ""sub"": 4}, {""cell_id"": ""west_loop__cocktail_bar"", ""query"": ""cocktail lounge private events West Loop / Fulton Market"", ""rank"": 3, ""run_id"": ""20260707-165757"", ""sub"": 4}, {""cell_id"": ""west_loop__cocktail_bar"", ""query"": ""cocktail bar West Loop / Fulton Market Chicago"", ""rank"": 4, ""run_id"": ""20260707-165847"", ""sub"": 4}, {""cell_id"": ""west_loop__cocktail_bar"", ""query"": ""cocktail lounge private events West Loop / Fulton Market"", ""rank"": 3, ""run_id"": ""20260707-165847"", ""sub"": 4}]",,,2026-07-07T16:56:29+00:00,2026-07-08T16:45:59+00:00
ChIJVeToOJzTD4gRvjGOQ4gHZs8,Alpana,"831 N State St, Chicago, IL 60610, USA",41.8978021,-87.628093,river_north,4.6,718,2,OPERATIONAL,http://www.alpanachicago.com/,"[""italian_restaurant"", ""wine_bar"", ""cocktail_bar"", ""brunch_restaurant"", ""bar"", ""restaurant"", ""point_of_interest"", ""food"", ""establishment""]",italian_restaurant,2_filtered_ok,,"[{""cell_id"": ""river_north__cocktail_bar"", ""query"": ""cocktail bar River North Chicago"", ""rank"": 32, ""run_id"": ""20260707-165624"", ""sub"": 1}, {""cell_id"": ""river_north__cocktail_bar"", ""query"": ""cocktail lounge private events River North"", ""rank"": 32, ""run_id"": ""20260707-165624"", ""sub"": 1}, {""cell_id"": ""river_north__cocktail_bar"", ""query"": ""cocktail bar River North Chicago"", ""rank"": 30, ""run_id"": ""20260707-165706"", ""sub"": 1}, {""cell_id"": ""river_north__cocktail_bar"", ""query"": ""cocktail lounge private events River North"", ""rank"": 32, ""run_id"": ""20260707-165706"", ""sub"": 1}, {""cell_id"": ""river_north__cocktail_bar"", ""query"": ""cocktail bar River North Chicago"", ""rank"": 35, ""run_id"": ""20260707-165757"", ""sub"": 1}, {""cell_id"": ""river_north__cocktail_bar"", ""query"": ""cocktail lounge private events River North"", ""rank"": 35, ""run_id"": ""20260707-165757"", ""sub"": 1}, {""cell_id"": ""river_north__cocktail_bar"", ""query"": ""cocktail bar River North Chicago"", ""rank"": 30, ""run_id"": ""20260707-165847"", ""sub"": 1}, {""cell_id"": ""river_north__cocktail_bar"", ""query"": ""cocktail lounge private events River North"", ""rank"": 32, ""run_id"": ""20260707-165847"", ""sub"": 1}]",,,2026-07-07T16:56:41+00:00,2026-07-07T17:02:52+00:00
